Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
6878,TW01,Trade Wings,50.40,0.0000,0,0.0000,0
6879,TEK,Trans & Electr,0.00,0.0000,Nan,Nan,Nan
6880,TAT,Trans Agro Tech,5.00,-0.1000,Nan,-1.9608,Nan
6881,TFR,Trans Financial,24.60,0.0000,0,0.0000,0
6882,TFC01,Trans Freight,4.86,-0.2500,-1.02,-4.8924,-17.3500
6883,TP07,Trans Plastics,7.00,-1.0000,Nan,-12.5000,Nan
6884,TTF01,Trans Techno,0.27,0.0000,Nan,0.0000,Nan
6885,T03,Transchem,13.78,-0.7200,0.57,-4.9655,4.3100
6886,TR,Transcon Res,0.80,0.0300,Nan,3.8961,Nan
6887,TI27,PVV Infra,5.30,0.2500,0.33,4.9505,6.6400
6888,TRI,Transformers,9.26,0.0900,-0.01,0.9815,-0.1100
6889,TB,Transgene Biote,4.10,0.1000,-0.30,2.5000,-6.8200
6890,TF07,Transglobe,207.85,4.0500,15.70,1.9872,8.1700
6891,TL01,Transindia Lamp,1.00,0.0000,Nan,0.0000,Nan
6892,TI14,Translam Ind,2.25,0.0000,Nan,0.0000,Nan
6893,TPL01,Transoceanic,0.12,0.0000,Nan,0.0000,Nan
6894,TI15,Transpek,2100.95,63.6000,183.95,3.1217,9.6000
6895,TCI04,Transport Corp,226.30,-4.3500,-5.40,-1.8860,-2.3300
6896,TE05,Transpower Engg,4.00,0.0000,Nan,0.0000,Nan
6897,TF10,Transwarranty,2.80,-0.1400,-0.30,-4.7619,-9.6800
6898,TI24,Universal Arts,0.70,-0.0300,0.00,-4.1096,0.0000
6899,TRC,TRC Finance,23.20,0.0000,-1.20,0.0000,-4.9200
6900,THE01,Tree House,7.01,0.1500,-0.05,2.1866,-0.7100
6901,TREJH7605,Trejhara,15.10,-0.7500,-1.67,-4.7319,-9.9600
6902,TD02,Trend Designs,0.50,0.0000,Nan,0.0000,Nan
6903,TEW,Trend East West,0.00,0.0000,Nan,Nan,Nan
6904,TE12,Technofab Engg,9.25,0.0000,-1.04,0.0000,-10.1100
6905,T04,Treadsdirect,NT*,0.0000,Nan,0.0000,Nan
6906,TW03,Trent (W),190.38,5.1500,Nan,2.7803,Nan
6907,TOA,Trezer Oil Agro,0.00,0.0000,Nan,Nan,Nan
6908,TRF,TRF,80.30,0.1500,2.15,0.1871,2.7500
6909,TSS02,Tri Star Soya,1.00,0.0000,Nan,0.0000,Nan
6910,TFC02,Tria Fine Chem,1.60,0.3000,Nan,23.0769,Nan
6911,TBZ,Tribhovandas,36.55,-0.3000,0.60,-0.8141,1.6700
6912,TH01,Tribhuvan House,0.21,0.0000,0,0.0000,0
6913,RID,Tricom Fruit,4.50,0.0000,0,0.0000,0
6914,AI01,Trident,7.93,1.2300,1.21,18.3582,18.01
6915,TP08,Trident Project,3.35,0.6500,Nan,24.0741,Nan
6916,MT10,Trident Tools,5.80,0.0000,-0.33,0.0000,-5.3800
6917,TZ,Trigon Zinco,3.10,0.0000,Nan,0.0000,Nan
6918,TT08,Time Techno,37.20,0.2500,0.70,0.6766,1.9200
6919,TT09,Trillenium Tech,2.45,-0.7500,Nan,-23.4375,Nan
6920,TTA01,Trilochan Trade,0.00,0.0000,Nan,Nan,Nan
6921,RP20,Trilogic Digi,0.84,0.0000,0,0.0000,0
6922,TI17,Trimline Invt,1.29,-0.1400,Nan,-9.7902,Nan
6923,TDP01,Trimurthi,3.80,0.0500,0.12,1.3333,3.2600
6924,TS04,Trimurti Synth,3.00,0.0000,Nan,0.0000,Nan
6925,TQG,Trina Quebec,0.00,0.0000,Nan,Nan,Nan
6926,TIV,Trinethra Infra,0.21,0.0000,0,0.0000,0
6927,IZ,Trinetra Cement,45.50,0.0000,0,0.0000,0
6928,DWH,Trinity League,8.99,0.4200,0.27,4.9008,3.1000
6929,STF06,Trinity Trade,0.49,0.0000,0,0.0000,0
6930,TMT01,Trio Mercantile,33.45,0.9500,0.35,2.9231,1.0600
6931,TP11,Triochem Prods,16.50,0.3000,Nan,1.8519,Nan
6932,TO01,Tripex Overseas,1.60,0.0200,Nan,1.2658,Nan
6933,TEI02,Trishakti Elect,10.00,0.0000,0,0.0000,0
6934,TE06,Tristar Enter,1.50,0.0000,Nan,0.0000,Nan
6935,TC16,Tamboli Capital,29.00,0.0000,-0.65,0.0000,-2.1900
6936,TV,Triton Valves,730.00,-0.7500,10.20,-0.1026,1.4200
6937,TIF01,Triumph Intl,2.30,-0.0900,Nan,-3.7657,Nan
6938,TE10,Triveni Engg,73.75,-0.6500,1.80,-0.8737,2.5000
6939,TE14,Triveni Enterpr,49.70,0.0000,-5.35,0.0000,-9.72
6940,TT14,Thyrocare Techn,758.00,-0.4000,-3.90,-0.0527,-0.5100
6941,CI14,DIC India,375.45,-9.5500,-3.65,-2.4805,-0.96
6942,REL,Trombo Ext,15.00,0.0000,0,0.0000,0
6943,TI21,Trywell Intl,1.00,0.0000,Nan,0.0000,Nan
6944,TSL03,Tata Steel PP,53.65,0.3000,2.35,0.5623,4.5800
6945,TT06,TT,33.15,0.1500,-0.20,0.4545,-0.6000
6946,TTF,TT Finance,3.00,0.0000,Nan,0.0000,Nan
6947,TTG,TTG Industries,0.80,-0.2000,Nan,-20.0000,Nan
6948,TTI,TTI Enterprise,0.56,0.0000,0,0.0000,0
6949,TTK01,TTK Biomed,5.00,-1.0000,Nan,-16.6667,Nan
6950,TTK,TTK Healthcare,450.55,-1.9500,-6.95,-0.4309,-1.5200
6951,TTK02,TTK Prestige,6176.35,62.9000,133.90,1.0289,2.2200
6952,TT07,Trupti Twisters,1.00,0.0000,Nan,0.0000,Nan
6953,TIIND54076,Tube Investment,639.55,33.3500,69.50,5.5015,12.1900
6954,TF11,Tubeknit,NT*,0.0000,Nan,0.0000,Nan
6955,TSL02,Tubetec Seamles,0.00,0.0000,Nan,Nan,Nan
6956,TI18,Tudor India,69.25,0.0000,Nan,0.0000,Nan
6957,TFL02,Tulip Finance,0.00,0.0000,Nan,Nan,Nan
6958,TT13,Tirupati Tyres,2.80,-0.0500,-0.21,-1.7544,-6.9800
6959,TE11,Tulsi Extrusion,0.99,0.0000,0,0.0000,0
6960,TSC01,Tulsipur Sugar,14.00,-1.2500,Nan,-8.1967,Nan
6961,TNE,Tulsyan NEC,12.70,0.0000,0,0.0000,0
6962,TIL01,Tungabhadra Ind,0.00,0.0000,Nan,Nan,Nan
6963,TPB,Tungabhadra Pul,0.00,0.0000,Nan,Nan,Nan
6964,TTM,Tuni Textile,0.50,-0.0200,-0.04,-3.8462,-7.4100
6965,TI19,Turbo Ind,11.00,0.0000,Nan,0.0000,Nan
6966,TEL01,Turbotech Engg,1.85,0.0000,0,0.0000,0
6967,TEL03,Tuscon Exports ,0.00,0.0000,Nan,Nan,Nan
6968,TAC02,Tuticorin Alkal,6.67,0.0900,-0.34,1.3678,-4.8500
6969,TT12,Triveni Turbine,68.95,0.2000,-1.25,0.2909,-1.7800
6970,TE08,TV 18,62.05,-6.2500,Nan,-9.1508,Nan
6971,TVT,TV TodayNetwork,199.05,4.7500,-2.45,2.4447,-1.2200
6972,TVV,TV Vision,1.94,0.0000,-0.1,0.0000,-4.9
6973,TVS02,TVS Electronics,93.50,1.9000,3.35,2.0742,3.7200
6974,TVS01,TVS Lakshmi,4.25,0.0000,Nan,0.0000,Nan
6975,TVS,TVS Motor,480.10,11.6500,32.90,2.4869,7.3600
6976,TVS03,TVS Srichakra,1405.30,19.3500,17.55,1.3962,1.2600
